country,city,followers_count,has_mobile,last_seen_time,last_seen_platform,political,langs,religion_id,alcohol,smoking,relation,sex,university
49.0,295.0,4957,1,0.010951403148528405,7.0,8.0,2,0,3.0,3.0,4,2,1
1.0,2.0,21532,1,0.013689253935660506,2.0,nan,0,0,nan,nan,0,2,1
1.0,2.0,4846,1,0.013689253935660506,1.0,nan,3,167,2.0,1.0,4,2,1173072
1.0,1.0,1384,1,0.013689253935660506,7.0,4.0,3,200,2.0,1.0,0,2,1
1.0,1.0,2322,1,0.013689253935660506,7.0,nan,0,0,0.0,0.0,0,2,1
1.0,1.0,723,1,0.013689253935660506,7.0,nan,1,0,nan,nan,0,2,2
1.0,2.0,294,1,0.013689253935660506,4.0,nan,0,0,nan,nan,4,2,68
1.0,2.0,3210,1,0.010951403148528405,4.0,4.0,4,0,0.0,4.0,4,1,81
1.0,2.0,691,1,0.013689253935660506,7.0,nan,4,0,0.0,0.0,1,2,0
1.0,10.0,8205,1,0.010951403148528405,7.0,4.0,1,200,4.0,4.0,4,2,0
1.0,2.0,1702,1,0.013689253935660506,2.0,4.0,0,167,nan,nan,4,1,1
1.0,2.0,1296,1,0.013689253935660506,2.0,8.0,1,102,nan,nan,4,1,1
1.0,2.0,1871,1,0.013689253935660506,4.0,nan,1,0,nan,nan,4,2,1
1.0,2.0,348,1,0.010951403148528405,7.0,6.0,1,0,0.0,0.0,4,2,1
1.0,2.0,303,1,0.013689253935660506,2.0,5.0,0,0,nan,nan,4,2,1
1.0,2.0,4829,1,0.010951403148528405,2.0,6.0,1,0,0.0,0.0,7,1,1
1.0,2.0,869,1,0.010951403148528405,2.0,nan,2,0,nan,nan,4,1,1
9.0,208.0,2770,1,0.013689253935660506,7.0,nan,0,0,nan,nan,4,1,1
1.0,2.0,2798,1,0.010951403148528405,7.0,nan,0,0,0.0,0.0,4,1,1
1.0,2.0,68,1,0.01642710472279261,7.0,8.0,4,0,5.0,5.0,7,2,1
1.0,2.0,386,1,0.013689253935660506,4.0,nan,0,0,nan,nan,0,2,1
142.0,1941.0,4546,1,0.027378507871321008,4.0,3.0,1,0,0.0,2.0,3,1,1
1.0,1519.0,1308,1,0.013689253935660506,2.0,nan,1,0,0.0,0.0,1,1,1
1.0,2.0,1940,1,0.01642710472279261,2.0,nan,4,0,0.0,0.0,4,1,236
1.0,2.0,2410,1,0.010951403148528405,4.0,3.0,1,0,nan,nan,4,1,56
1.0,2.0,112,1,0.013689253935660506,7.0,nan,1,0,nan,nan,4,2,1
1.0,99.0,4713,1,0.6242299794661191,2.0,nan,0,0,0.0,0.0,0,2,671
