MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup
8.3252,41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497
5.6431,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995
3.6591,52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025
3.2031,52.0,5.477611940298507,1.0796019900497513,910.0,2.263681592039801
3.2705,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856
3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463
2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552
1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774194
2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515
2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245
2.1202,52.0,4.052805280528053,0.966996699669967,648.0,2.1386138613861387
1.9911,50.0,5.343675417661098,1.0859188544152745,990.0,2.3627684964200477
2.6033,52.0,5.465454545454546,1.0836363636363637,690.0,2.5090909090909093
1.3578,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747
1.7135,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184
1.725,52.0,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963
2.1806,52.0,5.193846153846154,1.0369230769230768,853.0,2.624615384615385
2.6,52.0,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707
2.4038,41.0,4.495798319327731,1.0336134453781514,317.0,2.6638655462184873
2.4597,49.0,4.7280334728033475,1.0209205020920502,607.0,2.5397489539748954
1.808,52.0,4.7808564231738035,1.0604534005037782,1102.0,2.7758186397984885
1.6424,50.0,4.40169133192389,1.040169133192389,1131.0,2.3911205073995774
1.6875,52.0,4.703225806451613,1.032258064516129,395.0,2.5483870967741935
1.9274,49.0,5.068783068783069,1.1825396825396826,863.0,2.2830687830687832
1.9615,52.0,4.882086167800454,1.090702947845805,1168.0,2.6485260770975056
1.7969,48.0,5.737313432835821,1.2208955223880598,1026.0,3.062686567164179
1.375,49.0,5.0303951367781155,1.1124620060790273,754.0,2.291793313069909
2.7303,51.0,4.972014925373134,1.0708955223880596,1258.0,2.3470149253731343
1.4861,49.0,4.6022727272727275,1.0681818181818181,570.0,2.159090909090909
1.0972,48.0,4.807486631016043,1.1550802139037433,987.0,2.6390374331550803
1.4103,52.0,3.7493796526054592,0.967741935483871,901.0,2.235732009925558
