0,633
0,1862
0,2582
1,2
1,652
1,654
2,1
2,1986
2,332
2,1666
2,1454
3,2544
4,2176
4,1016
4,1761
4,1256
4,2175
5,1629
5,2546
5,1659
6,1416
6,1602
6,1042
6,373
7,208
8,281
8,1996
8,269
9,2614
9,723
10,476
10,2545
11,1655
11,1839
12,2661
12,1001
12,1318
12,2662
13,1810
13,1701
14,2034
14,2075
14,158
14,2077
14,2668
15,2367
15,1093
15,1090
15,1271
16,2444
16,1632
16,970
16,2642
17,24
17,2140
17,1316
17,1315
17,927
18,2082
18,139
18,1786
18,1560
18,2145
19,1939
20,1072
20,2374
20,2375
20,2269
20,2270
21,1043
21,2310
22,1703
22,1702
22,2238
22,39
22,1234
23,2159
24,17
24,1701
24,2139
24,1636
24,2141
24,598
24,201
25,1344
25,2011
25,1301
25,2317
26,2454
26,2455
26,123
26,99
26,122
27,1810
27,606
27,2360
27,2578
28,1687
29,963
29,2645
30,1358
30,1416
30,2162
30,697
30,2343
30,738
31,1594
32,1973
32,279
32,518
32,1850
33,2119
33,911
33,588
33,1051
33,2120
33,286
33,2040
33,2121
33,698
34,1358
35,1296
35,1913
35,895
36,1146
36,1640
36,1505
36,2106
36,1781
36,2094
36,1552
36,2107
37,2427
37,1190
37,60
38,429
38,1160
38,862
38,863
39,22
39,1634
39,1965
39,1349
39,1532
39,1522
39,2357
40,507
40,866
40,1364
41,1914
41,644
41,175
41,596
42,1372
42,87
43,963
43,2399
43,2400
43,152
43,1653
43,1530
44,1582
44,2624
44,2701
45,1986
45,733
45,2303
45,1219
45,2667
45,2668
46,2366
46,1604
47,1579
47,163
48,598
48,1666
48,2471
48,2205
48,1031
48,2041
48,1662
48,714
48,2206
49,2034
49,1666
50,1441
51,710
51,2214
51,2215
51,2213
51,457
51,1392
52,1467
52,2172
52,2182
52,1139
52,2053
53,1358
53,1103
53,1739
54,767
54,401
55,210
55,1983
55,787
55,2020
55,1156
55,771
55,60
55,815
55,2021
55,323
55,651
55,1079
56,1616
56,412
56,447
56,1849
57,2418
58,1715
59,1358
59,1725
59,1627
59,609
59,615
59,1287
59,2651
59,105
59,580
59,1067
60,37
60,55
60,1527
61,1416
61,1309
61,2162
61,2312
61,1080
62,485
63,1322
64,1737
64,1209
64,2616
65,1628
65,2418
65,2419
65,543
65,619
65,1293
65,1156
65,771
65,2021
65,239
66,2631
67,540
67,282
67,2628
68,1358
68,1986
68,391
69,1013
69,1914
69,1926
69,1351
69,604
69,1920
69,2189
70,441
70,2184
71,1986
71,206
71,2691
72,1358
72,1103
73,1358
73,797
73,449
73,1136
73,558
73,1723
73,1189
73,876
73,1214
73,1745
73,1751
73,1035
74,1416
74,586
74,1042
74,2155
74,544
74,2419
74,1118
74,1517
74,2052
75,2222
75,2223
75,2224
75,2225
75,84
75,583
76,88
76,2018
76,2178
77,659
77,1803
78,1418
78,1329
78,1219
79,2097
79,603
80,257
80,2049
80,1117
81,2180
81,347
81,527
81,423
82,1634
82,1138
83,1520
83,2581
84,75
84,2224
84,284
84,2223
84,2226
85,1065
85,2487
85,2488
86,1336
86,2034
86,429
86,2295
87,42
87,842
87,2164
88,76
88,2010
88,130
88,2011
88,1677
88,2012
88,2013
88,1713
88,1658
88,1394
88,1288
88,498
88,696
88,1882
88,851
88,743
88,2014
88,1732
88,162
88,841
88,1494
88,1908
88,1741
88,1174
88,1309
88,300
88,1527
88,1847
88,815
88,2015
88,2016
88,2017
88,415
88,737
88,2394
88,2178
89,1087
89,884
89,1401
89,2463
89,1157
89,1094
89,258
89,1653
89,1530
89,1585
90,1358
90,817
90,155
90,156
91,2122
91,2001
91,330
91,2380
91,2123
91,1046
92,898
92,1836
93,2151
93,550
93,1495
93,950
94,1966
94,586
94,733
94,1649
94,2490
94,195
94,2355
94,934
94,2263
94,2357
94,675
95,1535
95,1838
95,2200
95,2201
95,2197
95,2199
95,2181
95,2054
95,861
95,334
95,1303
95,734
95,736
95,2074
95,1628
95,1602
95,693
95,456
95,2183
